web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
1715028146-11;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Коробки и сумки с вещами;;;44;Москва;Ермиловых братьев;01.06.2019;4;2150;№ 1335442; Отправить Коробки и сумки с вещами;"Груз : Коробки и сумки с вещами 
                                        Дата перевозки:  02.06
					Время перевозки:  11:30
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 50 см; 40 см; 40 см;
					Объем:  0.08 м3";11,46017787;;01.06.2019
1715028163-12;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Кровать основание, Матрас двуспальный;;;32;Москва;ул Яблочкова 23к2 подьезд 4 кв 214;01.06.2019;5;2150;№ 1335531; Транспортировать Кровать основание, Матрас двуспальный;"Груз № 1: Кровать основание 
                                        Дата перевозки:  01.06
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 200 см; 160 см; 5 см;
					Объем:  0.16 м3";11,69267468;;01.06.2019
1715028188-13;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;11;ул Яблочкова;Москва причальный проезд 3 к 1 кВ 61;01.06.2019;3;2110;№ 1335566; Переезд;"Дата перевозки:  02.06
					Время перевозки:  с 13:00 по 13:00

										Общий объем:  Неизвестен
					Общий вес:  Неизвестен
                    Категория: Переезд";9,22238458;;01.06.2019
1715028214-14;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Письменный стол, Коробки и пакеты с вещами;;;20;Москва;Москва;02.06.2019;3;2210;№ 1335770; Заказ авто для доставки мебели ;"Груз № 1: Письменный стол 
                                        Дата перевозки:  02.06
					Время перевозки:  14:30
                    Категория: Мебель и бытовая техника
                    Вес: 25 кг
                    Д; Ш; В : 160 см; 60 см; 90 см;
					Объем:  0.86 м3";9,09990457;;02.06.2019
1715028240-15;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Шкаф;;;41;Москва;23к1;04.06.2019;3;2530;№ 1336813; Заказ машины для перевозки вещей ;"Груз : Шкаф 
                                        Дата перевозки:  04.06
					Время перевозки:  16:00
                    Категория: Мебель и бытовая техника
                    Вес: 115 кг
                    Д; Ш; В : 120 см; 80 см; 115 см;
					Объем:  1.1 м3";9,389672224;;04.06.2019
1715028265-16;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Мебельная стенка в прихожей;;;58;Москва;Щербинка;06.06.2019;5;2800;№ 1338241; Заказать грузовую газель для перевозки личныx вещей ;"Груз : Мебельная стенка в прихожей 
                                        Дата перевозки:  09.06
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 45 см; 120 см; 200 см;
					Объем:  1.08 м3";11,8656681;;06.06.2019
1715028291-17;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Детская кроватка, Детский комод, Детский стульчик для кормления, Барный стул, Шкаф;;;91;Москва;Москва;07.06.2019;4;4700;№ 1338418; Транспортировать Детская кроватка, Детский комод, Детский стульчик для кормления, Барный стул, Шкаф;"Груз № 1: Детская кроватка 
                                        Дата перевозки:  08.06
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 120 см; 70 см; 120 см;
					Объем:  1.01 м3";12,2162543;;07.06.2019
1715028317-18;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник двухкамерный, Матрас двуспальный, Упакованные пакеты;;;11;Булатниковское;Москва;10.06.2019;4;2150;№ 1339690; Доставка мебели ;"Груз № 1: Холодильник двухкамерный 
                                        Дата перевозки:  10.06
					Время перевозки:  с 15:30 по 19:30
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 100 см; 80 см; 200 см;
					Объем:  1.6 м3";11,08549213;;10.06.2019
1715028337-19;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Личные вещи (сумки), Детская коляска, Ванна детская, Раскладушка, Складной велосипед, Самокат, Детские санки;;;57;Москва;Московская область одинцовский район снт 40 лет октября;10.06.2019;3;3160;№ 1339814; Доставить Личные вещи (сумки), Детская коляска, Ванна детская, Раскладушка;"Груз № 1: Личные вещи (сумки) 
                                        Дата перевозки:  10.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: не указано
                    Д; Ш; В : не указано
					Объем:  не указано";12,59565912;;10.06.2019
1715028363-20;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Картонная коробка, Большая сумка, Кресло среднее, Диван-кровать;;;29;посёлок Коммунарка;Москва;10.06.2019;3;2280;№ 1339976; Транспортировать Картонная коробка, Большая сумка, Кресло среднее;"Груз № 1: Картонная коробка 
                                        Дата перевозки:  10.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 75 см; 50 см; 50 см;
					Объем:  0.19 м3";8,945493664;;10.06.2019
1715028389-21;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Книжный шкаф;;;9;Москва;Москва;12.06.2019;4;1130;№ 1341007; Заказ авто для отправки мебели ;"Груз : Книжный шкаф 
                                        Дата перевозки:  15.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 100 см; 150 см; 20 см;
					Объем:  0.3 м3";12,28388931;;12.06.2019
1715028414-22;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас двуспальный;;;7;Красногорск;Москва;13.06.2019;4;1100;№ 1341069; Заказ отдельного автомобиля для доставки личныx вещей ;"Груз : Матрас двуспальный 
                                        Дата перевозки:  15.06
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 200 см; 180 см; 20 см;
					Объем:  0.72 м3";12,95861375;;13.06.2019
1715028432-23;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Детская кроватка;;;3;Москва;Москва;13.06.2019;3;2280;№ 1341276; Перевозка мебели ;"Груз : Детская кроватка 
                                        Дата перевозки:  13.06
					Время перевозки:  17:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 125 см; 60 см; 102 см;
					Объем:  0.77 м3";10,28038186;;13.06.2019
1715028457-24;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник однокамерный, Журнальный стол;;;6;Москва;Москва;13.06.2019;5;2585;№ 1341379; Доставить Холодильник однокамерный, Журнальный стол;"Груз № 1: Холодильник однокамерный 
                                        Дата перевозки:  13.06
					Время перевозки:  с 17:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 60 см; 60 см; 140 см;
					Объем:  0.5 м3";10,75118482;;13.06.2019
1715028483-25;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Сумки с личными вещами;;;33;Видное;Москва;15.06.2019;5;2082;№ 1342404; Заказать грузовую машину для перевозки вещей ;"Груз : Сумки с личными вещами 
                                        Дата перевозки:  16.06
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: не указано
                    Д; Ш; В : 50 см; 80 см; 50 см;
					Объем:  0.2 м3";11,34541054;;15.06.2019
1715028508-26;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;4;Москва;Москва;15.06.2019;4;1870;№ 1342425; Домашний переезд;"Дата перевозки:  15.06
					Время перевозки:  Не указано

										Общий объем:  0.33 м3
					Общий вес:  40 кг
                    Категория: Переезд";11,36053442;;15.06.2019
1715028534-27;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Коробки и личные вещи;;;21;Москва;Москва;17.06.2019;5;3790;№ 1343092; Доставка личныx вещей ;"Груз : Коробки и личные вещи 
                                        Дата перевозки:  17.06
					Время перевозки:  19:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";9,772994784;;17.06.2019
1715028549-28;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Каблук (до 650 кг.);;;39;Королев;Дзержинский;01.07.2019;5;1500;№ 1344372; Грузоперевозки на газели услуги;"Груз :
							Заказать отдельную машину Каблук (до 650 кг.)						
                                        Дата перевозки:  01.07
					Время перевозки:  с 17:00 по 20:00
                    Категория: Прочие грузы
                    Вес: 650 кг
                    Д; Ш; В : не указано
					Объем:  3 м3";8,802035449;;01.07.2019
1715028574-29;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Кухонная мебель в полуразобранном виде;;;88;Москва;Серпухов;19.06.2019;5;3410;№ 1344384; Заказ авто для транспортировки вещей ;"Груз : Кухонная мебель в полуразобранном виде 
                                        Дата перевозки:  20.06
					Время перевозки:  с 12:00 по 15:00
                    Категория: Мебель и бытовая техника
                    Вес: не указано
                    Д; Ш; В : не указано; 60 см; 210 см;
					Объем:  не указано";11,13790569;;19.06.2019
1715028600-30;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Стиральная машина, Стол кухонный неразборный1;;;17;Москва;Москва;24.06.2019;4;2644;№ 1346526; Заказать грузовой автомобиль для отправки мебели ;"Груз № 1: Стиральная машина 
                                        Дата перевозки:  24.06
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: не указано
                    Д; Ш; В : 80 см; 60 см; 40 см;
					Объем:  0.19 м3";12,01217917;;24.06.2019
1715028625-31;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас двуспальный;;;4;Москва;Москва;25.06.2019;4;1218;№ 1347275; Транспортировать Матрас двуспальный;"Груз : Матрас двуспальный 
                                        Дата перевозки:  25.06
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 200 см; 160 см; 20 см;
					Объем:  0.64 м3";11,50287336;;25.06.2019
1715028645-32;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;76;посёлок Архангельское;Щелковский район.д.Серково.Лосиноостровские усадьбы.ул.Лесная 96;26.06.2019;4;3370;№ 1347618; Заказать машину для переезда;"Дата перевозки:  28.06
					Время перевозки:  10:00

										Общий объем:  4 м3
					Общий вес:  100 кг
                    Категория: Переезд";10,39755031;;26.06.2019
1715028664-33;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Шкаф-купе;;;11;Москва;Москва;26.06.2019;3;3568;№ 1347751; Перевозка мебели ;"Груз : Шкаф-купе 
                                        Дата перевозки:  26.06
					Время перевозки:  с 18:30 по 22:30
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 170 см; 70 см; 200 см;
					Объем:  2.38 м3";11,8802397;;26.06.2019
1715028689-34;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Средние коробки, Большие коробки, Кухонные стулья, Коробки и чемоданы;;;30;Москва;Химки;28.06.2019;5;2442;№ 1348814; Доставить Средние коробки, Большие коробки, Кухонные стулья, Коробки и чемоданы;"Груз № 1: Средние коробки 
                                        Дата перевозки:  29.06
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";11,79522638;;28.06.2019
1715028715-35;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Микроволновая печь, Офисное кресло, Сумка с одеждой, Чемодан с одеждой, магнитная доска;;;22;Москва;Москва;29.06.2019;3;2349;№ 1349098; Заказ грузового автомобиля для отправки вещей ;"Груз № 1: Микроволновая печь 
                                        Дата перевозки:  30.06
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 6 кг
                    Д; Ш; В : 40 см; 50 см; 30 см;
					Объем:  0.06 м3";8,728314003;;29.06.2019
1715028741-36;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 2-местный, Прикроватная тумбочка, Прикроватная тумбочка, Тумба под аквариум;;;14;Москва;Балашиха;29.06.2019;5;3842;№ 1349196; Перевозка вещей ;"Груз № 1: Диван 2-местный 
                                        Дата перевозки:  29.06
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";12,69821101;;29.06.2019
1715028766-37;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;11;Москва;Москва;29.06.2019;3;3498;№ 1349261; Заказать отдельную газель для переезда квартиры;"Дата перевозки:  30.06
					Время перевозки:  с 14:00 по 15:00

										Общий объем:  3.9 м3
					Общий вес:  300 кг
                    Категория: Переезд";12,09873548;;29.06.2019
1715028792-38;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Шкафы (2) для одежды разобранные;;;58;Москва;СНТ Пролетарий;30.06.2019;5;3030;№ 1349489; Заказать грузовую газель для доставки мебели ;"Груз : Шкафы (2) для одежды разобранные 
                                        Дата перевозки:  01.07
					Время перевозки:  15:30
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 60 см; 10 см; 200 см;
					Объем:  0.12 м3";9,058916903;;30.06.2019
1715028817-39;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;33;Севастопольский проспект 48 к1;Реутов;04.07.2019;3;5000;№ 1351537; Переезд;"Дата перевозки:  06.07
					Время перевозки:  10:00

										Общий объем:  4.8294 м3
					Общий вес:  348 кг
                    Категория: Переезд";12,34652218;;04.07.2019
1715028843-40;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;2;Москва;Москва;05.07.2019;4;1730;№ 1352312; Заказ машины для переезда квартиры;"Дата перевозки:  05.07
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  1.34 м3
					Общий вес:  40 кг
                    Категория: Переезд";12,50678916;;05.07.2019
1715028868-41;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;23;Москва;Москва;05.07.2019;4;3810;№ 1352407; Заказать переезд;"Дата перевозки:  20.07
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  5.03 м3
					Общий вес:  100 кг
                    Категория: Переезд";8,506489973;;05.07.2019
1715028894-42;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Буфет, Деревянный сундук, Круглый стол;;;108;Москва;Воскресенск;07.07.2019;4;6000;№ 1352417; Заказ автомобиля для доставки мебели ;"Груз № 1: Буфет 
                                        Дата перевозки:  07.07
					Время перевозки:  с 07:00 по 08:30
                    Категория: Мебель и бытовая техника
                    Вес: 60 кг
                    Д; Ш; В : 130 см; 54 см; 210 см;
					Объем:  1.47 м3";8,289047811;;07.07.2019
1715028919-43;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Личная одежда в мешках;;;6;Москва;Москва;07.07.2019;3;981;№ 1352930; Заказ автомобиля для перевозки вещей ;"Груз : Личная одежда в мешках 
                                        Дата перевозки:  07.07
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 100 см; 50 см; 50 см;
					Объем:  0.25 м3";10,08158476;;07.07.2019
1715028945-44;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван раскладной, Сумки с личными вещами;;;10;Москва;Москва;10.07.2019;3;1900;№ 1354324; Заказать авто для перевозки мебели ;"Груз № 1: Диван раскладной 
                                        Дата перевозки:  13.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 90 см; 220 см; 90 см;
					Объем:  1.78 м3";12,19922472;;10.07.2019
1715028970-45;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван угловой, Шкаф-купе;;;40;Долгопрудный;Москва;14.07.2019;3;5000;№ 1356588; Заказать отдельную машину для доставки личныx вещей ;"Груз № 1: Диван угловой 
                                        Дата перевозки:  14.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 60 кг
                    Д; Ш; В : 250 см; 120 см; 100 см;
					Объем:  3 м3";11,4143776;;14.07.2019
1715028996-46;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван;;;13;Москва;Москва;17.07.2019;5;1770;№ 1358024; Заказать автомобиль для отправки мебели ;"Груз : Диван 
                                        Дата перевозки:  с 17.07 по 24.07
					Время перевозки:  с 20:30 по 23:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";12,31864703;;17.07.2019
1715029021-47;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Каблук (до 650 кг.);;;8;Химки;Химки;20.07.2019;5;2988;№ 1358212; Отвезти автотранспортом заказать отдельную машину каблук (до 650 кг.);"Груз :
							Заказать отдельную машину Каблук (до 650 кг.)						
                                        Дата перевозки:  20.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Прочие грузы
                    Вес: 650 кг
                    Д; Ш; В : не указано
					Объем:  3 м3";8,256424042;;20.07.2019
1715029047-48;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Книги в коробках;;;9;Москва;Москва;19.07.2019;4;1774;№ 1359321; Заказ авто для транспортировки вещей ;"Груз : Книги в коробках 
                                        Дата перевозки:  19.07
					Время перевозки:  с 22:00 по 06:00
                    Категория: Мебель и бытовая техника
                    Вес: 6 кг
                    Д; Ш; В : 50 см; 27 см; 27 см;
					Объем:  0.04 м3";11,85122572;;19.07.2019
1715029072-49;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;40;Москва;Московская область   (Домодедовский р-н);19.07.2019;3;3110;№ 1359354; Переезд;"Дата перевозки:  20.07
					Время перевозки:  с 10:00 по 10:00

										Общий объем:  1.79 м3
					Общий вес:  100 кг
                    Категория: Переезд";8,821303595;;19.07.2019
1715029098-50;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Каблук (до 650 кг.);;;2;Москва;Москва;19.07.2019;4;1270;№ 1359419; Заказ транспорта для перевезки груза;"Груз :
							Заказать отдельную машину Каблук (до 650 кг.)						
                                        Дата перевозки:  19.07
					Время перевозки:  с 19:00 по 21:30
                    Категория: Прочие грузы
                    Вес: 650 кг
                    Д; Ш; В : не указано
					Объем:  3 м3";12,70771109;;19.07.2019
1715029123-51;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Бытовые вещи;;;30;Москва;Видное;20.07.2019;4;2067;№ 1359645; Заказ газели для отправки мебели ;"Груз : Бытовые вещи 
                                        Дата перевозки:  20.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 60 см; 40 см; 60 см;
					Объем:  0.14 м3";11,39295439;;20.07.2019
1715029149-52;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Электрическая плита;;;37;Раменский р-н;Москва;24.07.2019;3;3790;№ 1361837; Заказать автомобиль для отправки мебели ;"Груз : Электрическая плита 
                                        Дата перевозки:  27.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 42.5 кг
                    Д; Ш; В : 57 см; 50 см; 85 см;
					Объем:  0.24 м3";11,90253575;;24.07.2019
1715029174-53;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Бытовая техника переезд;;;43;Москва;Москва;26.07.2019;5;5000;№ 1362775; Заказать газель для переезда;"Дата перевозки:  27.07
					Время перевозки:  с 07:00 по 20:00

										Общий объем:  3.168 м3
					Общий вес:  160 кг
                    Категория: Переезд";8,924715676;;26.07.2019
1715029192-54;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;59;Москва;Татьянин парк 12к5;26.07.2019;3;5000;№ 1362936; Переезд;"Дата перевозки:  27.07
					Время перевозки:  16:00

										Общий объем:  3.4 м3
					Общий вес:  240 кг
                    Категория: Переезд";9,06101223;;26.07.2019
1715029218-55;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;разборной стол;;;28;Москва;ул Парковая 7-я;27.07.2019;3;1640;№ 1363044; Заказать авто для перевозки мебели ;"Груз : разборной стол 
                                        Дата перевозки:  27.07
					Время перевозки:  с 23:58 по 08:00
                    Категория: Мебель и бытовая техника
                    Вес: 200 кг
                    Д; Ш; В : 200 см; 100 см; 100 см;
					Объем:  2 м3";12,29192591;;27.07.2019
1715029231-56;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Домшний цветок;;;19;Люберцы;Москва ул. Авиамоторная 4 кор2 подъзд 2;03.08.2019;5;1520;№ 1366596; Заказать газель для транспортировки вещей ;"Груз : Домшний цветок 
                                        Дата перевозки:  04.08
					Время перевозки:  с 12:00 по 14:00
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 100 см; 100 см; 200 см;
					Объем:  2 м3";10,986663;;03.08.2019
1715029256-57;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Шкаф;;;0.971;Королев;Королев;08.08.2019;5;1232;№ 1369151; Заказ машины для транспортировки мебели ;"Груз : Шкаф 
                                        Дата перевозки:  08.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 90 см; 40 см; 150 см;
					Объем:  0.54 м3";10,76230879;;08.08.2019
1715029282-58;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Портер, Соболь (до 1т.);;;13;Москва;Москва;08.08.2019;1,5;2072;№ 1369312; Грузоперевозки;"Груз :
							Заказать отдельную машину Портер, Соболь (до 1т.)						
                                        Дата перевозки:  08.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Прочие грузы
                    Вес: 1000 кг
                    Д; Ш; В : не указано
					Объем:  6 м3";8,228918565;;08.08.2019
